date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_above,sqft_basement,yr_built,yr_renovated,city,zipcode,was_renovated,effective_year,house_age,age_effective,price_per_sqft
2014-05-02,367500.0,4.0,3.0,3110,7231,2.0,0,0,3,3110,0,1997,,Auburn,98092,0,1997,17,17,118.16720257234726
2014-05-02,257950.0,3.0,1.75,1370,5858,1.0,0,0,3,1370,0,1987,,Des Moines,98198,0,1987,27,27,188.28467153284672
2014-05-02,275000.0,3.0,1.5,1180,10277,1.0,0,0,3,1180,0,1983,,North Bend,98045,0,1983,31,31,233.05084745762713
2014-05-02,750000.0,3.0,1.75,2240,10578,2.0,0,0,5,1550,690,1923,,Seattle,98115,0,1923,91,91,334.82142857142856
2014-05-02,435000.0,4.0,1.0,1450,8800,1.0,0,0,4,1450,0,1954,,Bellevue,98006,0,1954,60,60,300.0
2014-05-02,626000.0,3.0,2.25,1750,1572,2.5,0,0,3,1470,280,2005,,Seattle,98102,0,2005,9,9,357.7142857142857
2014-05-02,612500.0,4.0,2.5,2730,12261,2.0,0,0,3,2730,0,1991,,Bothell,98011,0,1991,23,23,224.35897435897436
2014-05-02,495000.0,4.0,1.75,1600,6380,1.0,0,0,3,1130,470,1959,,Seattle,98125,0,1959,55,55,309.375
2014-05-02,285000.0,3.0,2.5,2090,10834,1.0,0,0,4,1360,730,1987,,Federal Way,98003,0,1987,27,27,136.36363636363637
2014-05-02,615000.0,3.0,1.75,2360,7291,1.0,0,0,4,1360,1000,1948,,Seattle,98136,0,1948,66,66,260.59322033898303
2014-05-02,698000.0,4.0,2.25,2200,11250,1.5,0,0,5,1300,900,1920,,Kirkland,98033,0,1920,94,94,317.27272727272725
2014-05-02,675000.0,5.0,2.5,2820,67518,2.0,0,0,3,2820,0,1979,,Issaquah,98029,0,1979,35,35,239.36170212765958
2014-05-02,790000.0,3.0,2.5,2600,4750,1.0,0,0,4,1700,900,1951,,Seattle,98117,0,1951,63,63,303.84615384615387
2014-05-02,382500.0,4.0,1.75,1560,8700,1.0,0,0,4,1560,0,1967,,Kirkland,98034,0,1967,47,47,245.19230769230768
2014-05-02,499950.0,4.0,2.5,2860,3345,2.0,0,0,3,2190,670,2004,,Woodinville,98072,0,2004,10,10,174.80769230769232
2014-05-02,650000.0,4.0,2.0,1820,5000,1.5,0,1,3,1640,180,1945,,Seattle,98115,0,1945,69,69,357.14285714285717
2014-05-02,625000.0,4.0,2.5,2820,8408,2.0,0,0,3,2820,0,2014,,Shoreline,98155,0,2014,0,0,221.63120567375887
2014-05-02,400000.0,4.0,2.5,3630,42884,1.5,0,0,3,2300,1330,1979,,Auburn,98092,0,1979,35,35,110.19283746556474
2014-05-02,604000.0,3.0,2.5,3240,33151,2.0,0,2,3,3240,0,1995,,Federal Way,98023,0,1995,19,19,186.41975308641975
2014-05-02,440000.0,2.0,1.0,800,4850,1.0,0,0,4,800,0,1944,,Seattle,98107,0,1944,70,70,550.0
2014-05-02,287200.0,3.0,3.0,1850,19966,1.0,0,0,4,1090,760,1992,,Maple Valley,98038,0,1992,22,22,155.24324324324326
2014-05-02,403000.0,3.0,2.0,1960,13100,1.0,0,2,5,1650,310,1957,,Normandy Park,98166,0,1957,57,57,205.6122448979592
2014-05-02,750000.0,3.0,2.5,2390,6550,1.0,0,2,4,1440,950,1955,,Seattle,98116,0,1955,59,59,313.8075313807531
2014-05-02,335000.0,3.0,2.25,1580,16215,1.0,0,0,4,1580,0,1978,,Fall City,98024,0,1978,36,36,212.0253164556962
2014-05-02,260000.0,4.0,2.0,1480,8625,1.0,0,0,4,1480,0,1974,,Renton,98055,0,1974,40,40,175.67567567567568
2014-05-02,308500.0,2.0,1.0,850,6174,1.0,0,0,4,850,0,1950,,Shoreline,98155,0,1950,64,64,362.94117647058823
2014-05-02,439950.0,3.0,2.5,1770,2875,2.0,0,0,3,1770,0,1990,,Seattle,98116,0,1990,24,24,248.5593220338983
2014-05-02,235000.0,2.0,1.0,1210,9400,1.0,0,0,2,1210,0,1949,,Seattle,98106,0,1949,65,65,194.21487603305786
2014-05-02,315000.0,3.0,1.0,1160,9180,1.0,0,0,3,1160,0,1968,,Woodinville,98077,0,1968,46,46,271.55172413793105
2014-05-02,437500.0,3.0,2.25,1970,35100,2.0,0,0,4,1970,0,1977,,Issaquah,98027,0,1977,37,37,222.08121827411168
2014-05-02,407500.0,3.0,2.5,1930,10460,2.0,0,0,3,1930,0,1996,,Renton,98059,0,1996,18,18,211.13989637305698
2014-05-02,445700.0,3.0,2.5,1270,1180,3.0,0,0,3,1270,0,2001,,Seattle,98107,0,2001,13,13,350.9448818897638
2014-05-02,838000.0,4.0,2.5,3310,42998,2.0,0,0,3,3310,0,2001,,Redmond,98052,0,2001,13,13,253.17220543806647
2014-05-02,630000.0,4.0,2.75,2710,37277,2.0,0,0,3,2710,0,2000,,Issaquah,98027,0,2000,14,14,232.47232472324723
2014-05-02,550000.0,3.0,1.75,2910,35200,1.5,0,0,3,2910,0,1979,,Sammamish,98075,0,1979,35,35,189.00343642611685
2014-05-02,805000.0,3.0,2.0,2710,4500,1.5,0,0,4,1880,830,1929,,Seattle,98115,0,1929,85,85,297.0479704797048
2014-05-02,284000.0,3.0,1.75,1800,23103,1.0,0,0,3,1800,0,1968,,Carnation,98014,0,1968,46,46,157.77777777777777
2014-05-02,470000.0,5.0,2.5,2210,9655,1.0,0,0,3,1460,750,1976,,Bothell,98011,0,1976,38,38,212.66968325791856
2014-05-02,430000.0,4.0,1.5,1920,10000,1.0,0,0,4,1070,850,1954,,Bellevue,98006,0,1954,60,60,223.95833333333334
2014-05-02,491500.0,4.0,1.75,2190,125452,1.0,0,2,3,2190,0,1968,,Auburn,98092,0,1968,46,46,224.42922374429224
2014-05-02,785000.0,5.0,3.25,3660,11995,2.0,0,2,3,3660,0,2006,,Snoqualmie,98065,0,2006,8,8,214.4808743169399
2014-05-02,385000.0,3.0,3.25,1320,1327,2.0,0,0,3,1040,280,2008,,Seattle,98199,0,2008,6,6,291.6666666666667
2014-05-02,295000.0,2.0,2.5,1630,1368,2.0,0,0,3,1280,350,2009,,Seattle,98106,0,2009,5,5,180.98159509202455
2014-05-02,555000.0,4.0,2.5,3310,6500,2.0,0,0,3,3310,0,2012,,Snoqualmie,98065,0,2012,2,2,167.67371601208458
2014-05-02,459990.0,3.0,2.5,2680,5539,2.0,0,0,3,2680,0,2013,,North Bend,98045,0,2013,1,1,171.63805970149255
2014-05-02,625000.0,4.0,3.25,2730,54014,1.0,0,0,3,1560,1170,2007,,Renton,98059,0,2007,7,7,228.93772893772893
2014-05-02,300000.0,3.0,2.5,2540,5050,2.0,0,0,3,2540,0,2006,,Kent,98042,0,2006,8,8,118.11023622047244
2014-05-03,625000.0,4.0,2.75,2920,6605,2.0,0,0,3,2920,0,2012,,Renton,98059,0,2012,2,2,214.04109589041096
2014-05-03,553000.0,2.0,1.0,900,5000,1.0,0,0,3,900,0,1944,,Seattle,98117,0,1944,70,70,614.4444444444445
2014-05-03,379880.0,3.0,2.5,1650,14054,1.0,0,0,4,1130,520,1986,,Issaquah,98027,0,1986,28,28,230.23030303030302
2014-05-03,310000.0,3.0,1.0,1010,9945,1.0,0,0,4,1010,0,1973,,Snoqualmie,98065,0,1973,41,41,306.9306930693069
2014-05-04,775000.0,2.0,2.5,2680,7392,1.0,0,0,3,2680,0,2004,,Redmond,98053,0,2004,10,10,289.17910447761193
2014-05-04,365000.0,3.0,2.5,2200,7350,1.0,0,0,5,1570,630,1988,,Renton,98058,0,1988,26,26,165.9090909090909
2014-05-04,331950.0,4.0,2.5,2530,9933,2.0,0,2,3,2010,520,1990,,Auburn,98092,0,1990,24,24,131.20553359683794
2014-05-04,783500.0,3.0,2.5,2850,7130,2.0,0,0,3,1990,860,1980,,Seattle,98122,0,1980,34,34,274.9122807017544
2014-05-04,628000.0,4.0,2.0,2280,6010,1.0,0,0,3,1140,1140,1900,,Seattle,98122,0,1900,114,114,275.43859649122805
2014-05-05,560000.0,3.0,2.5,1900,8744,2.0,0,0,3,1900,0,1987,,Sammamish,98074,0,1987,27,27,294.7368421052632
2014-05-05,900000.0,3.0,1.0,1330,77972,1.0,0,0,3,1330,0,1928,1954.0,Kirkland,98033,1,1954,86,60,676.6917293233083
2014-05-05,531000.0,2.0,3.0,1270,1175,2.0,0,0,3,1110,160,2000,,Seattle,98103,0,2000,14,14,418.1102362204724
2014-05-05,831000.0,4.0,3.0,2170,4000,2.0,0,0,4,1610,560,1982,2011.0,Seattle,98112,1,2011,32,3,382.94930875576034
2014-05-05,780000.0,4.0,2.5,2730,10281,2.0,0,2,3,2730,0,1996,,Sammamish,98074,0,1996,18,18,285.7142857142857
2014-05-05,755000.0,4.0,2.5,2120,10202,1.0,0,0,4,1620,500,1960,,Bellevue,98005,0,1960,54,54,356.1320754716981
2014-05-05,705380.0,3.0,2.5,2490,4343,2.0,0,0,3,2490,0,2003,,Issaquah,98029,0,2003,11,11,283.285140562249
2014-05-05,627000.0,4.0,2.25,1990,7712,1.0,0,0,3,1210,780,1973,,Issaquah,98027,0,1973,41,41,315.0753768844221
2014-05-05,865000.0,4.0,3.0,3690,9892,2.0,0,0,3,3690,0,1998,,Sammamish,98075,0,1998,16,16,234.41734417344173
2014-05-05,580000.0,2.0,1.0,2540,7000,1.0,0,0,5,1320,1220,1942,,Seattle,98118,0,1942,72,72,228.3464566929134
2014-05-05,410000.0,3.0,2.25,1800,36704,1.0,0,0,4,1360,440,1978,,Issaquah,98027,0,1978,36,36,227.77777777777777
2014-05-05,485000.0,4.0,3.0,2340,7048,1.0,0,0,4,1340,1000,1979,,Kirkland,98034,0,1979,35,35,207.26495726495727
2014-05-05,400000.0,2.0,1.75,2110,9519,1.0,0,0,2,2110,0,1948,,Shoreline,98155,0,1948,66,66,189.5734597156398
2014-05-05,549000.0,2.0,1.0,1140,5400,1.0,0,0,5,1140,0,1908,,Seattle,98112,0,1908,106,106,481.57894736842104
2014-05-05,620000.0,3.0,1.75,1480,2185,2.5,0,0,3,1480,0,2005,,Kirkland,98033,0,2005,9,9,418.9189189189189
2014-05-05,405000.0,2.0,3.0,1410,1240,2.0,0,0,3,1140,270,2006,,Seattle,98136,0,2006,8,8,287.2340425531915
2014-05-05,232000.0,2.0,1.0,1200,8063,1.0,0,0,4,1200,0,1958,,Des Moines,98198,0,1958,56,56,193.33333333333334
2014-05-05,800866.0,5.0,2.5,3180,13806,2.0,0,0,4,3180,0,1990,,Kirkland,98033,0,1990,24,24,251.8446540880503
2014-05-05,650000.0,3.0,1.5,2160,9000,1.0,0,2,4,1400,760,1949,,Seattle,98177,0,1949,65,65,300.9259259259259
2014-05-05,823000.0,6.0,1.75,2920,5000,2.5,0,0,4,2780,140,1908,,Seattle,98122,0,1908,106,106,281.8493150684931
2014-05-05,770000.0,3.0,2.0,2350,5700,1.5,0,0,4,1810,540,1939,,Seattle,98112,0,1939,75,75,327.6595744680851
2014-05-05,524000.0,3.0,1.75,1560,5520,1.0,0,0,4,780,780,1944,,Seattle,98199,0,1944,70,70,335.8974358974359
2014-05-05,541125.0,5.0,2.75,2740,8426,1.0,0,0,4,1370,1370,1960,,Bellevue,98006,0,1960,54,54,197.49087591240877
2014-05-05,670000.0,3.0,2.5,1680,2000,3.0,0,0,3,1680,0,1909,1998.0,Seattle,98105,1,1998,105,16,398.8095238095238
2014-05-05,384900.0,5.0,2.5,3090,12750,1.0,0,0,3,1750,1340,1968,,Federal Way,98023,0,1968,46,46,124.5631067961165
2014-05-05,406100.0,3.0,2.25,1410,1332,3.0,0,0,3,1410,0,2005,,Seattle,98103,0,2005,9,9,288.01418439716315
2014-05-05,1395000.0,5.0,3.5,4010,8510,2.0,0,1,5,2850,1160,1971,,Seattle,98105,0,1971,43,43,347.8802992518703
2014-05-05,736500.0,4.0,2.5,3180,21904,2.0,0,3,3,3180,0,2000,,Renton,98059,0,2000,14,14,231.60377358490567
2014-05-05,570000.0,3.0,2.25,2010,6000,1.0,0,0,3,1330,680,1975,,Redmond,98052,0,1975,39,39,283.5820895522388
2014-05-05,787000.0,3.0,1.75,1330,7500,1.0,0,0,3,1330,0,1961,,Bellevue,98004,0,1961,53,53,591.7293233082706
2014-05-05,328000.0,4.0,2.5,2370,6500,2.0,0,0,3,2370,0,1998,,Auburn,98092,0,1998,16,16,138.39662447257385
2014-05-05,435000.0,5.0,2.0,1840,9240,1.0,0,0,4,1540,300,1942,1958.0,Seattle,98133,1,1958,72,56,236.41304347826087
2014-05-05,499000.0,4.0,2.5,2910,6479,2.0,0,0,3,2910,0,2006,,Snoqualmie,98065,0,2006,8,8,171.47766323024055
2014-05-05,501000.0,4.0,1.0,2070,7519,1.0,0,0,3,1160,910,1963,,Bellevue,98008,0,1963,51,51,242.02898550724638
2014-05-05,1090000.0,4.0,2.5,4340,141570,2.5,0,0,3,4340,0,1992,,Redmond,98053,0,1992,22,22,251.1520737327189
2014-05-05,400000.0,2.0,1.0,840,5510,1.0,0,0,3,840,0,1955,,Seattle,98136,0,1955,59,59,476.1904761904762
2014-05-05,220000.0,4.0,1.5,1240,9600,1.0,0,0,3,1240,0,1971,,Federal Way,98023,0,1971,43,43,177.41935483870967
2014-05-05,657100.0,4.0,1.0,1390,4240,1.0,0,0,3,1050,340,1924,,Seattle,98103,0,1924,90,90,472.7338129496403
2014-05-05,309950.0,4.0,2.75,2310,5000,2.0,0,0,3,2310,0,2006,,Maple Valley,98038,0,2006,8,8,134.17748917748918
2014-05-05,300000.0,3.0,2.0,1050,10072,1.0,0,0,3,1050,0,1986,,Duvall,98019,0,1986,28,28,285.7142857142857
2014-05-05,525888.0,5.0,1.75,2550,71874,1.0,0,0,5,1810,740,1960,,Issaquah,98027,0,1960,54,54,206.2305882352941
2014-05-05,740000.0,4.0,1.75,2010,3600,1.5,0,0,3,2010,0,1902,,Seattle,98119,0,1902,112,112,368.1592039800995
2014-05-05,340000.0,5.0,1.0,1120,9022,1.5,0,0,4,1120,0,1962,,Kirkland,98034,0,1962,52,52,303.57142857142856
2014-05-05,398750.0,3.0,2.5,2230,4000,2.0,0,0,3,2230,0,1954,,Seattle,98144,0,1954,60,60,178.81165919282512
2014-05-05,206000.0,2.0,1.0,810,7158,1.0,0,0,5,810,0,1944,,Burien,98168,0,1944,70,70,254.320987654321
2014-05-05,1030000.0,5.0,2.75,3190,16920,1.0,0,3,3,1690,1500,1976,,Bellevue,98006,0,1976,38,38,322.88401253918494
2014-05-05,600000.0,3.0,1.75,1670,39639,1.0,0,0,4,1670,0,1976,1992.0,Sammamish,98075,1,1992,38,22,359.2814371257485
2014-05-05,379950.0,4.0,1.75,1970,9389,1.0,0,0,5,1140,830,1960,,Shoreline,98133,0,1960,54,54,192.86802030456852
2014-05-05,287000.0,3.0,1.0,1450,6000,1.0,0,0,4,1450,0,1953,,Seattle,98118,0,1953,61,61,197.93103448275863
2014-05-05,2280000.0,7.0,8.0,13540,307752,3.0,0,4,3,9410,4130,1999,,Redmond,98053,0,1999,15,15,168.38995568685377
2014-05-05,309950.0,3.0,2.5,1880,7838,2.0,0,0,3,1880,0,1994,,Renton,98055,0,1994,20,20,164.86702127659575
2014-05-05,600000.0,3.0,1.75,1880,6360,1.0,0,0,4,1040,840,1945,,Seattle,98115,0,1945,69,69,319.1489361702128
2014-05-05,418000.0,3.0,2.0,1410,6030,1.5,0,0,4,1410,0,1930,,Seattle,98103,0,1930,84,84,296.45390070921985
2014-05-05,449250.0,4.0,2.0,1480,3844,1.5,0,0,5,1480,0,1928,,Seattle,98133,0,1928,86,86,303.5472972972973
2014-05-05,329950.0,2.0,1.0,1140,5250,1.5,0,0,4,1140,0,1949,,Seattle,98133,0,1949,65,65,289.4298245614035
2014-05-05,245000.0,3.0,1.75,1920,9306,1.0,0,0,3,1000,920,1984,,Auburn,98001,0,1984,30,30,127.60416666666667
2014-05-05,549000.0,4.0,2.5,2910,6338,2.0,0,0,3,2910,0,2008,,Renton,98059,0,2008,6,6,188.659793814433
2014-05-05,800000.0,3.0,2.5,3240,7857,2.0,0,0,3,3240,0,1994,,Sammamish,98075,0,1994,20,20,246.91358024691357
2014-05-05,249950.0,3.0,2.0,1550,15040,1.0,0,0,4,1550,0,1958,,Renton,98059,0,1958,56,56,161.25806451612902
2014-05-05,210000.0,5.0,2.0,2050,10200,1.0,0,0,3,1430,620,1956,,Des Moines,98198,0,1956,58,58,102.4390243902439
2014-05-05,1425000.0,2.0,2.5,2220,4000,2.0,0,0,3,2220,0,2000,,Seattle,98112,0,2000,14,14,641.8918918918919
2014-05-05,585000.0,2.0,1.0,1770,8640,1.5,0,0,3,1520,250,1949,,Seattle,98117,0,1949,65,65,330.50847457627117
2014-05-05,615000.0,4.0,1.75,2300,11700,1.0,0,0,4,1960,340,1977,,Redmond,98052,0,1977,37,37,267.39130434782606
2014-05-05,618500.0,3.0,2.0,1800,5000,1.0,0,0,4,1080,720,1942,,Seattle,98115,0,1942,72,72,343.6111111111111
2014-05-05,487585.0,4.0,1.75,2010,9211,1.0,0,0,3,1470,540,1977,,Kirkland,98034,0,1977,37,37,242.57960199004975
2014-05-05,509900.0,3.0,2.5,1790,2700,2.0,0,0,3,1790,0,2010,,Issaquah,98027,0,2010,4,4,284.86033519553075
2014-05-05,631625.0,4.0,2.5,2440,6651,2.0,0,0,3,2440,0,2014,,Seattle,98117,0,2014,0,0,258.86270491803276
2014-05-05,555000.0,3.0,2.5,1940,3211,2.0,0,0,3,1940,0,2009,,Issaquah,98027,0,2009,5,5,286.08247422680415
2014-05-05,340000.0,2.0,1.5,1160,1438,2.0,0,0,3,1160,0,2001,,Seattle,98144,0,2001,13,13,293.1034482758621
2014-05-05,830000.0,4.0,2.5,3400,9692,2.0,0,0,3,3400,0,2007,,Redmond,98052,0,2007,7,7,244.11764705882354
2014-05-05,890000.0,4.0,4.25,4420,5750,2.0,0,0,3,3410,1010,2006,,Issaquah,98027,0,2006,8,8,201.35746606334843
2014-05-05,366750.0,3.0,3.0,1571,2017,3.0,0,0,3,1571,0,2008,,Seattle,98125,0,2008,6,6,233.45003182686187
2014-05-05,415000.0,3.0,2.25,1620,998,2.5,0,0,3,1540,80,2010,,Issaquah,98029,0,2010,4,4,256.17283950617286
2014-05-05,416286.0,3.0,2.5,1408,989,3.0,0,0,3,1408,0,2005,,Seattle,98115,0,2005,9,9,295.65767045454544
2014-05-05,478000.0,3.0,2.5,3040,4535,2.0,0,0,3,3040,0,2007,,Renton,98056,0,2007,7,7,157.23684210526315
2014-05-05,890000.0,5.0,3.5,4490,6000,2.0,0,0,3,3200,1290,2006,,Issaquah,98027,0,2006,8,8,198.21826280623608
2014-05-05,419190.0,2.0,2.5,1590,1426,2.0,0,0,3,1590,0,2014,,Issaquah,98029,0,2014,0,0,263.64150943396226
2014-05-05,712198.0,4.0,2.5,2450,4247,2.0,0,0,3,2450,0,2013,,Redmond,98052,0,2013,1,1,290.6930612244898
2014-05-06,397000.0,4.0,2.0,1440,7680,1.0,0,0,3,1200,240,1971,,Kirkland,98034,0,1971,43,43,275.69444444444446
2014-05-06,450000.0,2.0,2.0,1100,3000,1.5,0,0,3,1100,0,1912,2005.0,Seattle,98117,1,2005,102,9,409.09090909090907
2014-05-06,353000.0,3.0,1.0,1350,7740,1.0,0,0,4,860,490,1947,,Seattle,98125,0,1947,67,67,261.48148148148147
2014-05-06,609000.0,4.0,2.5,2150,37981,2.0,0,0,3,2150,0,1985,,Redmond,98052,0,1985,29,29,283.25581395348837
2014-05-06,234000.0,3.0,1.75,1490,8366,1.0,0,0,4,1010,480,1975,,Covington,98042,0,1975,39,39,157.04697986577182
2014-05-06,561000.0,3.0,2.0,2000,7000,2.0,0,0,3,2000,0,1916,1986.0,Seattle,98136,1,1986,98,28,280.5
2014-05-06,469000.0,2.0,1.0,1030,4400,1.0,0,0,3,1030,0,1924,,Seattle,98117,0,1924,90,90,455.3398058252427
2014-05-06,329350.0,2.0,1.0,720,6687,1.0,0,0,3,720,0,1942,,Seattle,98117,0,1942,72,72,457.43055555555554
2014-05-06,488000.0,5.0,2.0,2020,5000,1.5,0,0,4,2020,0,1938,,Seattle,98117,0,1938,76,76,241.58415841584159
2014-05-06,279900.0,3.0,1.75,1580,8151,1.0,0,1,4,1100,480,1962,,Des Moines,98198,0,1962,52,52,177.15189873417722
2014-05-06,606000.0,4.0,2.5,2110,13850,2.0,0,0,3,2110,0,1987,,Issaquah,98027,0,1987,27,27,287.2037914691943
2014-05-06,312000.0,4.0,2.0,1300,7054,1.0,0,0,3,1300,0,1950,2013.0,Seattle,98146,1,2013,64,1,240.0
2014-05-06,650000.0,3.0,1.5,1630,7475,1.0,0,1,3,1160,470,1940,,Seattle,98115,0,1940,74,74,398.7730061349693
2014-05-06,1135000.0,4.0,2.75,3370,8103,1.0,0,3,3,1970,1400,1970,2014.0,Seattle,98136,1,2014,44,0,336.7952522255193
2014-05-06,325000.0,4.0,2.5,1890,6156,1.0,0,0,3,980,910,1980,,Seattle,98106,0,1980,34,34,171.95767195767195
2014-05-06,425000.0,4.0,2.0,1520,7983,1.0,0,0,5,1520,0,1967,,Inglewood-Finn Hill,98034,0,1967,47,47,279.60526315789474
2014-05-06,219000.0,2.0,1.0,900,5160,1.0,0,0,3,900,0,1952,,Seattle,98106,0,1952,62,62,243.33333333333334
2014-05-06,250000.0,3.0,1.0,1050,6874,1.0,0,0,3,1050,0,1954,,Shoreline,98133,0,1954,60,60,238.0952380952381
2014-05-06,390000.0,3.0,1.75,1260,6500,1.0,0,0,4,1260,0,1966,,Bellevue,98008,0,1966,48,48,309.5238095238095
2014-05-06,475000.0,6.0,3.0,3470,117612,1.5,0,0,3,3470,0,1924,,Kenmore,98028,0,1924,90,90,136.88760806916426
2014-05-06,736000.0,4.0,2.5,2290,12047,2.0,0,0,4,2290,0,1988,,Bellevue,98006,0,1988,26,26,321.3973799126638
2014-05-06,407000.0,4.0,2.25,2810,23400,1.0,0,1,3,1710,1100,1958,,Des Moines,98198,0,1958,56,56,144.83985765124555
2014-05-06,272000.0,3.0,2.5,1650,13816,2.0,0,0,3,1650,0,1998,,Carnation,98014,0,1998,16,16,164.84848484848484
2014-05-06,362000.0,3.0,2.25,1640,14374,1.0,0,0,4,1140,500,1963,,Burien,98148,0,1963,51,51,220.73170731707316
2014-05-06,535000.0,3.0,2.5,1850,10109,2.0,0,0,3,1850,0,1991,,Kirkland,98034,0,1991,23,23,289.18918918918916
2014-05-06,284000.0,4.0,2.5,2000,5390,2.0,0,0,3,2000,0,2003,,Kent,98042,0,2003,11,11,142.0
2014-05-06,367500.0,3.0,1.5,1410,9647,1.0,0,0,3,1410,0,1961,,Shoreline,98177,0,1961,53,53,260.63829787234044
2014-05-06,379900.0,4.0,1.75,1500,11600,1.0,0,0,4,1000,500,1955,,Kenmore,98028,0,1955,59,59,253.26666666666668
2014-05-06,520000.0,3.0,2.5,2460,54885,2.0,0,0,4,2460,0,1980,,Renton,98059,0,1980,34,34,211.3821138211382
2014-05-06,175000.0,3.0,1.0,1010,7034,1.0,0,0,3,1010,0,1954,,Renton,98057,0,1954,60,60,173.26732673267327
2014-05-06,460000.0,2.0,2.25,1230,929,2.0,0,0,3,1020,210,2004,,Seattle,98112,0,2004,10,10,373.9837398373984
2014-05-06,345000.0,4.0,2.5,2331,3826,2.0,0,0,3,2331,0,2007,,Renton,98058,0,2007,7,7,148.00514800514802
2014-05-06,455000.0,5.0,2.5,2240,7770,1.0,0,0,3,1340,900,1978,,Kirkland,98034,0,1978,36,36,203.125
2014-05-06,610000.0,4.0,3.0,2450,10117,1.0,0,0,5,1580,870,1967,,Bellevue,98006,0,1967,47,47,248.9795918367347
2014-05-06,563000.0,4.0,3.0,3100,15480,2.0,0,0,3,2400,700,1996,,Kenmore,98028,0,1996,18,18,181.61290322580646
2014-05-06,612500.0,4.0,2.0,2060,5000,1.0,0,0,3,1030,1030,1949,2013.0,Seattle,98117,1,2013,65,1,297.33009708737865
2014-05-06,218000.0,3.0,1.75,1850,7684,1.0,0,0,3,1320,530,1979,,Federal Way,98023,0,1979,35,35,117.83783783783784
2014-05-06,404000.0,4.0,1.75,1840,10720,1.0,0,0,3,960,880,1958,,Bellevue,98008,0,1958,56,56,219.56521739130434
2014-05-06,860000.0,4.0,2.0,3740,32417,2.0,0,0,3,3740,0,2000,,Redmond,98053,0,2000,14,14,229.94652406417111
2014-05-06,136500.0,3.0,1.5,1420,8580,1.0,0,0,3,1420,0,1962,,Federal Way,98023,0,1962,52,52,96.12676056338029
2014-05-06,313950.0,3.0,1.0,1510,6083,1.0,0,0,4,860,650,1940,,Seattle,98115,0,1940,74,74,207.91390728476821
2014-05-06,575000.0,3.0,1.75,2130,6500,1.0,0,2,3,1170,960,1954,,Seattle,98199,0,1954,60,60,269.9530516431925
2014-05-06,1225000.0,4.0,2.25,3490,6906,2.0,0,0,4,2280,1210,1928,,Seattle,98199,0,1928,86,86,351.0028653295129
2014-05-06,280000.0,3.0,1.75,1630,11800,1.0,0,0,4,1630,0,1971,,North Bend,98045,0,1971,43,43,171.77914110429447
