row,split
272,train
273,train
274,test
275,train
276,train
277,train
278,train
279,train
280,train
281,train
282,train
283,train
284,train
285,train
286,train
287,test
288,train
289,test
290,test
291,test
292,train
293,test
294,train
295,train
296,test
297,test
298,test
299,train
300,train
301,train
302,train
303,train
304,train
305,test
306,train
307,train
308,test
309,test
310,train
311,train
312,train
313,train
314,test
315,test
316,train
317,train
318,test
319,train
320,train
321,test
322,test
323,train
324,train
325,test
326,train
327,train
328,train
329,train
330,test
331,train
332,test
333,train
334,train
335,train
336,train
337,train
338,train
339,train
340,train
341,train
342,train
343,train
344,train
345,train
346,train
347,train
348,train
349,train
350,train
351,test
352,train
353,train
354,test
355,train
356,train
357,train
358,train
359,train
360,test
361,train
362,train
363,train
364,train
365,train
366,test
367,train
368,train
369,train
370,train
371,test
372,train
373,train
374,train
375,train
376,test
377,train
378,train
379,train
380,train
381,train
382,train
383,train
384,train
385,train
386,train
387,test
388,train
389,train
390,train
391,train
392,train
393,test
394,train
395,train
396,train
397,train
398,train
399,train
400,train
401,train
402,test
403,train
404,train
405,train
406,train
407,train
408,test
409,train
410,test
411,train
412,train
413,train
414,test
415,train
416,train
417,train
418,train
419,train
420,train
421,train
422,train
423,train
424,train
425,train
426,test
427,train
428,train
429,test
430,train
431,train
432,test
433,test
434,train
435,train
436,test
437,train
438,test
439,train
440,train
441,train
442,train
443,test
444,train
445,test
446,train
447,train
448,train
449,train
450,test
451,train
452,train
453,train
454,train
455,train
456,train
457,test
458,train
459,train
460,train
461,test
462,train
463,test
464,train
465,test
466,train
467,train
468,test
469,train
470,train
471,test
472,train
473,train
474,train
475,train
476,train
477,train
478,test
479,train
480,train
481,train
482,train
483,train
484,train
485,train
486,train
487,train
488,train
489,train
490,test
491,train
492,train
493,train
494,test
495,test
496,train
497,test
498,train
499,train
500,train
501,test
502,train
503,train
504,train
505,test
506,test
507,train
508,train
509,train
510,train
511,test
512,train
513,train
514,train
515,train
516,train
517,train
518,train
519,train
520,train
521,train
522,train
523,train
524,train
525,train
526,train
527,test
528,train
529,train
530,test
531,train
532,train
533,train
534,test
535,train
536,train
537,train
538,test
539,train
540,train
541,train
542,train
543,train
544,test
545,train
546,train
547,train
548,train
549,train
550,train
551,test
552,train
553,train
554,train
555,test
556,train
557,train
558,train
559,train
560,train
561,test
562,train
563,train
564,test
565,train
566,train
567,test
568,test
569,train
570,train
571,train
572,train
573,train
574,train
575,train
576,test
577,train
578,train
579,train
580,train
581,train
582,train
583,train
584,test
585,train
586,train
587,train
588,train
589,test
590,train
591,train
592,train
593,train
594,test
595,train
596,test
597,train
598,test
599,test
600,train
601,train
602,test
603,train
604,train
605,test
606,train
607,train
608,train
609,train
610,train
611,train
612,train
613,train
614,train
615,train
616,train
617,train
618,test
619,train
620,test
621,test
622,train
623,train
624,train
625,train
626,test
627,train
628,train
629,train
630,train
631,train
632,train
633,train
634,train
635,train
636,train
637,train
638,train
639,train
640,train
641,train
642,test
643,test
644,train
645,train
646,train
647,test
648,train
649,train
650,test
651,train
652,train
653,train
654,train
655,test
656,train
657,test
658,train
659,train
660,train
661,train
662,train
663,train
664,train
665,train
666,train
667,train
668,test
669,train
670,test
671,train
672,train
673,train
674,train
675,train
676,test
677,test
678,train
679,train
680,test
681,train
682,test
683,test
684,train
685,train
686,train
687,train
688,train
689,train
690,train
691,test
692,train
693,test
694,train
695,train
696,train
697,train
698,train
699,train
700,train
701,train
702,train
703,train
704,train
705,test
706,train
707,train
708,train
709,train
710,train
711,train
712,train
713,train
714,train
715,train
716,train
717,train
718,test
719,train
720,test
721,test
722,train
723,train
724,train
725,train
726,train
727,train
728,train
729,train
730,train
731,test
732,train
733,test
734,test
735,train
736,train
737,train
738,train
739,train
740,train
741,train
742,train
743,train
744,test
745,train
746,test
747,train
748,train
749,train
750,train
751,test
752,train
753,train
754,train
755,test
756,train
757,train
758,train
759,test
760,train
761,train
762,train
763,train
764,test
765,train
766,train
767,train
768,train
769,train
770,train
771,train
772,train
773,train
774,train
775,train
776,test
777,train
778,train
779,train
780,train
781,train
782,train
783,test
784,train
785,train
786,train
787,test
788,train
789,train
790,test
791,train
792,train
793,train
794,test
795,train
796,train
797,train
798,test
799,train
800,test
801,train
802,test
803,test
804,train
805,test
806,train
807,test
808,train
809,test
810,test
811,test
812,test
813,train
814,train
815,train
816,train
817,test
818,train
819,train
820,train
821,train
822,train
823,train
824,train
825,train
826,train
827,train
828,train
829,test
830,train
831,test
832,train
833,train
834,train
835,train
836,train
837,train
838,test
839,train
840,train
841,train
842,test
843,test
844,train
845,train
846,train
847,train
848,train
849,train
850,train
851,train
852,train
853,train
854,train
855,train
856,test
857,test
858,train
859,train
860,train
861,train
862,test
863,train
864,train
865,train
866,train
867,train
868,train
869,test
870,train
871,test
872,train
873,train
874,train
875,train
876,train
877,test
878,train
879,test
880,train
881,test
882,train
883,train
884,train
885,train
886,train
887,train
888,test
889,test
890,train
891,train
892,train
893,test
894,train
895,train
896,train
897,test
898,train
899,train
900,train
901,train
902,train
903,test
904,train
905,train
906,train
907,test
908,train
909,train
910,train
911,test
912,train
913,train
914,train
915,test
916,train
917,train
918,train
919,train
920,train
921,train
922,train
923,train
924,train
925,train
926,train
927,train
928,train
929,train
930,train
931,train
932,train
933,train
934,train
935,train
936,train
937,train
938,train
939,train
940,train
941,train
942,train
943,train
944,train
945,train
946,train
947,train
948,train
949,test
950,train
951,train
952,train
953,train
954,train
955,train
956,train
957,train
958,train
959,train
960,test
961,train
962,train
963,train
964,train
965,train
966,train
967,train
968,train
969,train
970,train
971,train
972,train
973,train
974,train
975,train
976,train
977,train
978,test
979,train
980,train
981,train
982,train
983,train
984,train
985,train
986,train
987,train
988,train
989,train
990,train
991,train
992,train
993,train
994,train
995,train
996,train
997,train
998,train
999,test
1000,train
1001,test
1002,train
1003,test
1004,train
1005,train
1006,train
1007,train
1008,train
1009,train
1010,train
1011,train
1012,train
1013,train
1014,train
1015,train
1016,train
1017,test
1018,test
1019,train
1020,test
1021,train
1022,test
1023,train
1024,train
1025,test
1026,train
1027,test
1028,train
1029,test
1030,train
1031,train
1032,test
1033,train
1034,test
1035,train
1036,train
1037,train
1038,test
1039,train
1040,train
1041,test
1042,train
1043,train
1044,train
1045,train
1046,train
1047,test
1048,train
1049,train
1050,train
1051,test
1052,test
1053,train
1054,train
1055,test
1056,test
1057,test
1058,train
1059,train
1060,train
1061,test
1062,train
1063,train
1064,train
1065,train
1066,train
1067,train
1068,test
1069,train
1070,train
1071,test
1072,train
1073,test
1074,test
1075,test
1076,train
1077,train
1078,train
1079,train
1080,train
1081,train
1082,train
1083,train
1084,train
1085,train
1086,train
1087,train
1088,train
1089,train
1090,train
1091,train
1092,train
1093,train
1094,test
1095,train
1096,train
1097,train
1098,train
1099,train
1100,train
1101,train
1102,train
1103,train
1104,test
1105,train
1106,test
1107,train
1108,test
1109,train
1110,train
1111,train
1112,train
1113,test
1114,test
1115,train
1116,test
1117,test
1118,train
1119,train
1120,train
1121,train
1122,train
1123,test
1124,train
1125,train
1126,train
1127,train
1128,test
1129,train
1130,test
1131,train
1132,train
1133,train
1134,train
1135,train
1136,train
1137,train
1138,train
1139,train
1140,train
1141,train
1142,train
1143,train
1144,train
1145,train
1146,train
1147,train
1148,train
1149,train
1150,train
1151,train
1152,train
1153,train
1154,train
1155,train
1156,train
1157,train
1158,test
1159,test
1160,train
1161,test
1162,test
1163,train
1164,test
1165,train
1166,train
1167,train
1168,train
1169,train
1170,test
1171,train
1172,train
1173,test
1174,train
1175,train
1176,test
1177,train
1178,test
1179,train
1180,test
1181,train
1182,train
1183,test
1184,train
1185,train
1186,train
1187,train
1188,train
1189,test
1190,train
1191,train
1192,test
1193,train
1194,train
1195,train
1196,train
1197,train
1198,train
1199,train
1200,test
1201,train
1202,train
1203,train
1204,test
1205,train
1206,train
1207,test
1208,train
1209,train
1210,train
1211,train
1212,train
1213,test
1214,train
1215,train
1216,test
1217,train
1218,train
1219,train
1220,test
1221,test
1222,test
1223,train
1224,train
1225,train
1226,train
1227,train
1228,test
1229,train
1230,train
1231,test
1232,train
1233,train
1234,train
1235,test
1236,train
1237,test
1238,train
1239,train
1240,train
1241,train
1242,test
1243,train
1244,train
1245,train
1246,train
1247,train
1248,train
1249,train
1250,train
1251,train
1252,train
1253,test
1254,train
1255,test
1256,train
1257,train
1258,test
1259,train
1260,test
1261,test
1262,train
1263,test
1264,test
1265,train
1266,train
1267,train
1268,train
1269,train
1270,test
1271,train
1272,test
1273,train
1274,train
1275,train
1276,train
1277,train
1278,test
1279,train
1280,train
1281,test
1282,train
1283,train
1284,train
1285,train
1286,train
1287,train
1288,test
1289,test
1290,train
1291,train
1292,test
1293,train
1294,train
1295,test
1296,train
1297,train
1298,train
1299,train
1300,train
1301,train
1302,train
1303,train
1304,train
1305,train
1306,train
1307,train
1308,train
1309,train
1310,train
1311,train
1312,train
1313,test
1314,train
1315,train
1316,train
1317,train
1318,train
1319,train
1320,train
1321,test
1322,train
1323,test
1324,train
1325,train
1326,train
1327,train
1328,train
1329,train
1330,train
1331,train
1332,train
1333,train
1334,test
1335,train
1336,train
1337,train
1338,train
1339,train
1340,test
1341,train
1342,train
1343,train
1344,train
1345,test
1346,train
1347,train
1348,train
1349,train
1350,test
1351,test
1352,train
1353,train
1354,train
1355,train
1356,train
1357,train
1358,train
1359,train
1360,train
1361,train
1362,test
1363,train
1364,train
1365,train
1366,train
1367,train
1368,train
1369,train
1370,train
1371,train
1372,train
1373,train
1374,test
1375,train
1376,train
1377,train
1378,test
1379,train
1380,train
1381,train
1382,train
1383,train
1384,train
1385,train
1386,train
1387,train
1388,train
1389,train
1390,train
1391,test
1392,test
1393,test
1394,train
1395,test
1396,train
1397,test
1398,test
1399,train
1400,train
1401,train
1402,train
1403,train
1404,train
1405,train
1406,test
1407,test
1408,train
1409,train
1410,train
1411,test
1412,test
1413,test
1414,train
1415,train
1416,train
1417,test
1418,train
1419,test
1420,train
1421,train
1422,train
1423,train
1424,test
1425,train
1426,test
1427,test
1428,train
1429,train
1430,train
1431,train
1432,test
1433,train
1434,train
1435,train
1436,test
1437,test
1438,test
1439,train
1440,train
1441,train
1442,train
1443,train
1444,train
1445,train
1446,train
1447,train
1448,test
1449,train
1450,train
1451,train
1452,train
1453,train
1454,train
1455,test
1456,train
1457,test
1458,train
1459,train
1460,train
1461,test
1462,train
1463,train
1464,train
1465,train
1466,train
1467,train
1468,test
1469,train
1470,train
1471,train
1472,train
1473,train
1474,train
1475,train
1476,train
1477,test
1478,train
1479,train
1480,train
1481,train
1482,test
1483,train
1484,train
1485,test
1486,train
1487,test
1488,train
1489,train
1490,train
1491,test
1492,train
1493,train
1494,train
1495,train
1496,train
1497,test
1498,test
1499,train
1500,train
1501,test
1502,train
1503,train
1504,test
1505,test
1506,train
1507,test
1508,train
1509,train
1510,test
1511,train
1512,train
1513,test
1514,train
1515,train
1516,train
1517,train
1518,train
1519,train
1520,train
1521,train
1522,test
1523,train
1524,train
1525,train
1526,train
1527,train
1528,train
1529,train
1530,train
1531,train
1532,train
1533,test
1534,train
1535,train
1536,test
1537,test
1538,train
1539,test
1540,train
1541,train
1542,train
1543,train
1544,train
1545,test
1546,train
1547,train
1548,train
1549,train
1550,train
1551,test
1552,train
1553,train
1554,test
1555,train
1556,test
1557,test
1558,test
1559,train
1560,train
1561,train
1562,train
1563,test
1564,test
1565,train
1566,test
1567,train
1568,train
1569,train
1570,train
1571,train
1572,train
1573,train
1574,train
1575,train
1576,train
1577,train
1578,test
1579,train
1580,test
1581,train
1582,train
1583,train
1584,train
1585,train
1586,test
1587,train
1588,train
1589,test
1590,train
1591,train
1592,test
1593,test
1594,train
1595,train
1596,train
1597,train
1598,test
1599,train
1600,test
1601,train
1602,train
1603,train
1604,train
1605,train
1606,train
1607,train
1608,train
1609,train
1610,train
1611,test
1612,train
1613,train
1614,train
1615,train
1616,train
1617,train
1618,train
1619,train
1620,train
1621,train
1622,train
1623,test
1624,train
1625,train
1626,test
1627,test
1628,train
1629,train
1630,train
1631,train
1632,test
1633,train
1634,train
1635,train
1636,train
1637,train
1638,train
1639,train
1640,train
1641,test
1642,train
1643,test
1644,train
1645,train
1646,train
1647,test
1648,train
1649,train
1650,test
1651,train
1652,test
1653,train
1654,train
1655,train
1656,train
1657,test
1658,train
1659,test
1660,train
1661,train
1662,test
1663,train
1664,train
1665,test
1666,test
1667,train
1668,train
1669,train
1670,test
1671,train
1672,train
1673,train
1674,train
1675,train
1676,train
1677,train
1678,train
1679,train
1680,train
1681,train
1682,train
1683,train
1684,train
1685,train
1686,train
1687,train
1688,train
1689,train
1690,train
1691,train
1692,train
1693,train
1694,test
1695,train
1696,train
1697,test
1698,train
1699,train
1700,train
1701,train
1702,train
1703,train
1704,train
1705,train
1706,train
1707,train
1708,train
1709,train
1710,train
1711,train
1712,train
1713,train
1714,test
1715,train
1716,train
1717,train
1718,test
1719,train
1720,train
1721,test
1722,train
1723,train
1724,train
1725,train
1726,train
1727,test
1728,train
1729,train
1730,train
1731,train
1732,train
1733,train
1734,train
1735,train
1736,test
1737,train
1738,train
1739,train
1740,test
1741,test
1742,train
1743,train
1744,train
1745,train
1746,train
1747,test
1748,train
1749,test
1750,train
1751,train
1752,train
1753,train
1754,train
1755,train
1756,train
1757,train
1758,train
1759,train
1760,train
1761,train
1762,train
1763,train
1764,train
1765,test
1766,train
1767,test
1768,train
1769,test
1770,test
1771,train
1772,train
1773,train
1774,train
1775,train
1776,train
1777,train
1778,train
1779,test
1780,train
1781,train
1782,train
1783,test
1784,test
1785,train
1786,train
1787,train
1788,test
1789,test
1790,train
1791,train
1792,train
1793,train
1794,train
1795,train
1796,train
1797,train
1798,train
1799,train
1800,train
1801,train
1802,train
1803,train
1804,train
1805,train
1806,train
1807,test
1808,train
1809,train
1810,train
1811,train
1812,test
1813,test
1814,test
1815,train
1816,train
1817,train
1818,train
1819,train
1820,train
1821,train
1822,train
1823,train
1824,train
1825,train
1826,train
1827,train
1828,train
1829,train
1830,train
1831,test
1832,train
1833,test
1834,train
1835,train
1836,train
1837,train
1838,train
1839,test
1840,test
1841,train
1842,test
1843,train
1844,train
1845,train
1846,test
1847,train
1848,train
1849,train
1850,train
1851,train
1852,train
1853,train
1854,train
1855,train
1856,train
1857,train
1858,train
1859,test
1860,test
1861,train
1862,test
1863,train
1864,train
1865,train
1866,train
1867,test
1868,train
1869,train
1870,train
1871,test
1872,train
1873,train
1874,test
1875,train
1876,test
1877,train
1878,train
1879,train
1880,test
1881,train
1882,train
1883,train
1884,train
1885,train
1886,train
1887,train
1888,train
1889,train
1890,train
1891,train
1892,train
1893,train
1894,train
1895,train
1896,test
1897,test
1898,train
1899,train
1900,train
1901,train
1902,test
1903,train
1904,train
1905,train
1906,train
1907,train
1908,train
1909,test
1910,train
1911,train
1912,test
1913,train
1914,train
1915,train
1916,train
1917,train
1918,train
1919,test
1920,train
1921,train
1922,train
1923,test
1924,test
1925,train
1926,train
1927,train
1928,train
1929,train
1930,train
1931,train
1932,train
1933,train
1934,train
1935,train
1936,train
1937,train
1938,train
1939,train
1940,train
1941,test
1942,train
1943,train
1944,train
1945,test
1946,train
1947,train
1948,train
1949,train
1950,train
1951,train
1952,test
1953,train
1954,train
1955,train
1956,train
1957,test
1958,train
1959,train
1960,train
1961,train
1962,train
1963,train
1964,train
1965,train
1966,test
1967,train
1968,train
1969,train
1970,train
1971,train
1972,test
1973,test
1974,train
1975,train
1976,train
1977,train
1978,test
1979,train
1980,train
1981,train
1982,train
1983,train
1984,train
1985,train
1986,train
1987,train
1988,test
1989,train
1990,train
1991,train
1992,train
1993,train
1994,train
1995,test
1996,train
1997,train
1998,train
1999,train
2000,train
2001,train
2002,test
2003,train
2004,test
2005,test
2006,train
2007,train
2008,train
2009,train
2010,train
2011,train
2012,train
2013,train
2014,test
2015,test
2016,test
2017,train
2018,train
2019,train
2020,train
2021,train
2022,train
2023,train
2024,train
2025,train
2026,train
2027,train
2028,train
2029,train
2030,train
2031,test
2032,train
2033,train
2034,train
2035,train
2036,train
2037,train
2038,train
2039,train
2040,train
2041,train
2042,test
2043,train
2044,test
2045,test
2046,train
2047,train
2048,train
2049,train
2050,train
2051,train
2052,train
2053,test
2054,train
2055,train
2056,train
2057,test
2058,train
2059,test
2060,train
2061,train
2062,train
2063,test
2064,train
2065,train
2066,train
2067,test
2068,train
2069,test
2070,train
2071,train
2072,train
2073,test
2074,train
2075,train
2076,train
2077,train
2078,train
2079,train
2080,train
2081,train
2082,train
2083,train
2084,train
2085,test
2086,test
2087,train
2088,train
2089,train
2090,train
2091,test
2092,test
2093,test
2094,train
2095,train
2096,train
2097,test
2098,train
2099,train
2100,train
2101,train
2102,train
2103,train
2104,train
2105,train
2106,train
2107,train
2108,train
2109,train
2110,train
2111,test
2112,train
2113,train
2114,train
2115,train
2116,train
2117,train
2118,train
2119,train
2120,train
2121,train
2122,train
2123,train
2124,train
2125,train
2126,train
2127,test
2128,train
2129,train
2130,train
2131,train
2132,train
2133,train
2134,train
2135,train
2136,train
2137,train
2138,train
2139,train
2140,train
2141,train
2142,train
2143,train
2144,train
2145,train
2146,train
2147,train
2148,train
2149,train
2150,train
2151,train
2152,train
2153,test
2154,train
2155,test
2156,train
2157,train
2158,train
2159,train
2160,train
2161,train
2162,train
2163,train
2164,train
2165,train
2166,train
2167,test
2168,train
2169,train
2170,train
2171,test
2172,test
2173,train
2174,train
2175,train
2176,train
2177,train
2178,train
2179,train
2180,train
2181,train
2182,test
2183,train
2184,train
2185,train
2186,test
2187,train
2188,train
2189,test
2190,train
2191,train
2192,train
2193,train
2194,train
2195,train
2196,test
2197,train
2198,train
2199,train
2200,train
2201,train
2202,test
2203,train
2204,train
2205,train
2206,test
2207,train
2208,train
2209,train
2210,train
2211,train
2212,train
2213,test
2214,train
2215,train
2216,train
2217,train
2218,train
2219,train
2220,train
2221,test
2222,train
2223,test
2224,train
2225,train
2226,test
2227,train
2228,train
2229,train
2230,test
2231,train
2232,train
2233,test
2234,train
2235,train
2236,train
2237,train
2238,train
2239,train
2240,train
2241,train
2242,test
2243,train
2244,test
2245,train
2246,train
2247,test
2248,train
2249,train
2250,test
2251,train
2252,train
2253,train
2254,train
2255,train
2256,train
2257,train
2258,train
2259,train
2260,train
2261,train
2262,train
2263,train
2264,train
2265,train
2266,train
2267,test
2268,train
2269,test
2270,train
2271,train
2272,train
2273,train
2274,test
2275,train
2276,train
2277,train
2278,train
2279,train
2280,train
2281,train
2282,train
2283,train
2284,train
2285,train
2286,train
2287,train
2288,train
2289,train
2290,train
2291,train
2292,train
2293,test
2294,train
2295,train
2296,train
2297,test
2298,train
2299,test
2300,train
2301,train
2302,train
2303,test
2304,train
2305,train
2306,train
2307,train
2308,train
2309,test
2310,train
2311,train
2312,train
2313,train
2314,train
2315,train
2316,train
2317,train
2318,test
2319,train
2320,test
2321,train
2322,train
2323,test
2324,train
2325,test
2326,train
2327,train
2328,train
2329,train
2330,test
2331,train
2332,train
2333,test
2334,train
2335,train
2336,train
2337,train
2338,train
2339,train
2340,train
2341,test
2342,train
2343,train
2344,train
2345,train
2346,train
2347,train
2348,train
2349,train
2350,train
2351,test
2352,train
2353,train
2354,train
2355,train
2356,train
2357,train
2358,train
2359,train
2360,train
2361,train
2362,train
2363,train
2364,train
2365,train
2366,train
2367,test
2368,train
2369,test
2370,test
2371,train
2372,test
2373,train
2374,train
2375,train
2376,train
2377,train
2378,test
2379,test
2380,train
2381,train
2382,train
2383,train
2384,test
2385,train
2386,train
2387,train
2388,train
2389,train
2390,train
2391,train
2392,train
2393,train
2394,train
2395,train
2396,train
2397,train
2398,train
2399,train
2400,train
2401,train
2402,train
2403,train
2404,train
2405,train
2406,train
2407,test
2408,train
2409,train
2410,train
2411,train
2412,train
2413,train
2414,test
2415,test
2416,train
2417,test
2418,train
2419,train
2420,test
2421,train
2422,train
2423,train
2424,train
2425,train
2426,train
2427,train
2428,train
2429,test
2430,train
2431,train
2432,train
2433,train
2434,train
2435,train
2436,train
2437,test
2438,train
2439,train
2440,train
2441,train
2442,train
2443,train
2444,train
2445,train
2446,train
2447,test
2448,train
2449,train
2450,test
2451,test
2452,test
2453,train
2454,train
2455,train
2456,test
2457,test
2458,train
2459,train
2460,train
2461,train
2462,test
2463,train
2464,test
2465,test
2466,train
2467,train
2468,train
2469,train
2470,train
2471,train
2472,train
2473,train
2474,test
2475,train
2476,train
2477,train
2478,test
2479,train
2480,train
2481,test
2482,train
2483,train
2484,train
2485,train
2486,train
2487,train
2488,test
2489,train
2490,train
2491,train
2492,train
2493,test
2494,test
2495,train
2496,train
2497,train
2498,test
2499,test
2500,test
2501,train
2502,train
2503,train
2504,train
2505,train
2506,train
2507,train
2508,train
2509,train
2510,train
2511,train
2512,test
2513,train
2514,train
2515,train
2516,train
2517,train
2518,train
2519,train
2520,train
2521,train
2522,test
2523,train
2524,train
2525,train
2526,test
2527,test
2528,train
2529,test
2530,train
2531,test
2532,train
2533,train
2534,train
2535,test
2536,train
2537,train
2538,train
2539,train
2540,train
2541,train
2542,test
2543,test
2544,train
2545,test
2546,train
2547,test
2548,train
2549,train
2550,train
2551,train
2552,train
2553,train
2554,test
2555,train
2556,train
2557,train
2558,train
2559,train
2560,train
2561,train
2562,train
2563,train
2564,test
2565,train
2566,train
2567,train
2568,train
2569,train
2570,train
2571,train
2572,train
2573,train
2574,train
2575,train
2576,train
2577,train
2578,test
2579,train
2580,train
2581,train
2582,train
2583,test
2584,train
2585,train
2586,train
2587,train
2588,test
2589,train
2590,train
2591,train
2592,test
2593,train
2594,test
2595,train
2596,train
2597,train
2598,train
2599,train
2600,test
2601,train
2602,test
2603,train
2604,train
2605,train
2606,test
2607,test
2608,train
2609,train
2610,test
2611,train
2612,train
2613,train
2614,train
2615,train
2616,train
2617,train
2618,train
2619,train
2620,test
2621,train
2622,train
2623,train
2624,train
2625,train
2626,train
2627,train
2628,train
2629,test
2630,train
2631,test
2632,train
2633,test
2634,test
2635,train
2636,train
2637,train
2638,train
2639,train
2640,train
2641,train
2642,train
2643,train
2644,train
2645,train
2646,train
2647,train
2648,test
2649,train
2650,train
2651,train
2652,train
2653,train
2654,test
2655,test
2656,train
2657,train
2658,test
2659,test
2660,train
2661,test
2662,train
2663,train
2664,train
2665,test
2666,train
2667,train
2668,test
2669,train
2670,train
2671,train
2672,train
2673,train
2674,train
2675,train
2676,train
2677,train
2678,test
2679,train
2680,test
2681,train
2682,train
2683,train
2684,train
2685,train
2686,train
2687,train
2688,train
2689,train
2690,train
2691,train
2692,train
2693,train
2694,test
2695,train
2696,train
2697,test
2698,test
2699,train
2700,train
2701,train
2702,train
2703,train
2704,train
2705,train
2706,train
2707,test
2708,train
2709,train
2710,train
2711,train
2712,train
2713,train
2714,train
2715,test
2716,test
2717,train
2718,train
2719,train
2720,train
2721,train
2722,test
2723,train
2724,train
2725,test
2726,train
2727,train
2728,test
2729,train
2730,train
2731,train
2732,train
2733,train
2734,train
2735,train
2736,test
2737,train
2738,train
2739,train
2740,train
2741,train
2742,train
2743,train
2744,train
2745,train
2746,train
2747,train
2748,test
2749,train
2750,test
2751,train
2752,train
2753,train
2754,train
2755,train
2756,train
2757,test
2758,train
2759,test
2760,train
2761,train
2762,train
2763,train
2764,test
2765,train
2766,train
2767,test
2768,train
2769,train
2770,train
2771,train
2772,test
2773,train
2774,train
2775,train
2776,train
2777,train
2778,train
2779,train
2780,train
2781,train
2782,train
2783,train
2784,test
2785,train
2786,train
2787,train
2788,train
2789,test
2790,train
2791,train
2792,train
2793,test
2794,train
2795,train
2796,train
2797,train
2798,train
2799,train
2800,train
2801,train
2802,train
2803,test
2804,test
2805,train
2806,train
2807,test
2808,train
2809,train
2810,train
2811,train
2812,train
2813,test
2814,train
2815,train
2816,train
2817,train
2818,train
2819,train
2820,train
2821,train
2822,train
2823,train
2824,train
2825,train
2826,train
2827,train
2828,train
2829,train
2830,train
2831,train
2832,train
2833,train
2834,train
2835,train
2836,train
2837,train
2838,train
2839,train
2840,train
2841,train
2842,train
2843,train
2844,test
2845,train
2846,test
2847,train
2848,train
2849,train
2850,train
2851,train
2852,train
2853,train
2854,train
2855,train
2856,test
2857,test
2858,train
2859,train
2860,test
2861,train
2862,train
2863,train
2864,test
2865,test
2866,train
2867,train
2868,train
2869,train
2870,train
2871,train
2872,train
2873,test
2874,train
2875,train
2876,train
2877,train
2878,train
2879,train
2880,test
2881,test
2882,test
2883,train
2884,train
2885,train
2886,train
2887,train
2888,train
2889,train
2890,train
2891,train
2892,train
2893,train
2894,train
2895,train
2896,train
2897,train
2898,train
2899,test
2900,train
2901,train
2902,test
2903,train
2904,train
2905,train
2906,train
2907,train
2908,train
2909,train
2910,train
2911,train
2912,train
2913,train
2914,train
2915,test
2916,train
2917,train
2918,train
2919,train
2920,test
2921,train
2922,train
2923,train
2924,train
2925,train
2926,train
2927,train
2928,train
2929,test
2930,train
2931,train
2932,train
2933,train
2934,train
2935,train
2936,train
2937,train
2938,train
2939,train
2940,train
2941,train
2942,train
2943,train
2944,train
2945,train
2946,train
2947,train
2948,train
2949,test
2950,train
2951,train
2952,train
2953,train
2954,test
2955,train
2956,train
2957,test
2958,train
2959,train
2960,train
2961,train
2962,test
2963,test
2964,test
2965,train
2966,train
2967,train
2968,test
2969,test
2970,test
2971,train
2972,train
2973,train
2974,test
2975,train
2976,train
2977,train
2978,train
2979,train
2980,train
2981,train
2982,train
2983,train
2984,test
2985,train
2986,train
2987,train
2988,test
2989,train
2990,train
2991,test
2992,train
2993,train
2994,train
2995,train
2996,train
2997,train
