date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_above,sqft_basement,yr_built,yr_renovated,address,date_raw,street,city,statezip,country,zipcode
2014-05-02,612500.0,4.0,2.5,2730,12261,2.0,0,0,3,2730,0,1991,,"10212 NE 156th Pl, Bothell, WA 98011, USA",20140502T000000,10212 NE 156th Pl,Bothell,WA 98011,USA,98011
2014-05-02,495000.0,4.0,1.75,1600,6380,1.0,0,0,3,1130,470,1959,,"2021 NE 100th St, Seattle, WA 98125, USA",20140502T000000,2021 NE 100th St,Seattle,WA 98125,USA,98125
2014-05-02,285000.0,3.0,2.5,2090,10834,1.0,0,0,4,1360,730,1987,,"27736 23rd Avenue South, Federal Way, WA 98003, USA",20140502T000000,27736 23rd Avenue South,Federal Way,WA 98003,USA,98003
2014-05-02,615000.0,3.0,1.75,2360,7291,1.0,0,0,4,1360,1000,1948,,"8436-8438 41st Ave SW, Seattle, WA 98136, USA",20140502T000000,8436-8438 41st Ave SW,Seattle,WA 98136,USA,98136
2014-05-02,698000.0,4.0,2.25,2200,11250,1.5,0,0,5,1300,900,1920,,"1036 4th St, Kirkland, WA 98033, USA",20140502T000000,1036 4th St,Kirkland,WA 98033,USA,98033
2014-05-02,675000.0,5.0,2.5,2820,67518,2.0,0,0,3,2820,0,1979,,"23525 SE 32nd Way, Issaquah, WA 98029, USA",20140502T000000,23525 SE 32nd Way,Issaquah,WA 98029,USA,98029
2014-05-02,790000.0,3.0,2.5,2600,4750,1.0,0,0,4,1700,900,1951,,"3314 NW 75th St, Seattle, WA 98117, USA",20140502T000000,3314 NW 75th St,Seattle,WA 98117,USA,98117
2014-05-02,382500.0,4.0,1.75,1560,8700,1.0,0,0,4,1560,0,1967,,"14104 119th Ave NE, Kirkland, WA 98034, USA",20140502T000000,14104 119th Ave NE,Kirkland,WA 98034,USA,98034
2014-05-02,499950.0,4.0,2.5,2860,3345,2.0,0,0,3,2190,670,2004,,"20120 137th Ave NE, Woodinville, WA 98072, USA",20140502T000000,20120 137th Ave NE,Woodinville,WA 98072,USA,98072
2014-05-02,650000.0,4.0,2.0,1820,5000,1.5,0,1,3,1640,180,1945,,"7201-7399 55th Ave NE, Seattle, WA 98115, USA",20140502T000000,7201-7399 55th Ave NE,Seattle,WA 98115,USA,98115
2014-05-02,625000.0,4.0,2.5,2820,8408,2.0,0,0,3,2820,0,2014,,"17052 4th Ave NE, Shoreline, WA 98155, USA",20140502T000000,17052 4th Ave NE,Shoreline,WA 98155,USA,98155
2014-05-02,400000.0,4.0,2.5,3630,42884,1.5,0,0,3,2300,1330,1979,,"5172-5198 Heather Ave SE, Auburn, WA 98092, USA",20140502T000000,5172-5198 Heather Ave SE,Auburn,WA 98092,USA,98092
2014-05-02,604000.0,3.0,2.5,3240,33151,2.0,0,2,3,3240,0,1995,,"30822 36th Ct SW, Federal Way, WA 98023, USA",20140502T000000,30822 36th Ct SW,Federal Way,WA 98023,USA,98023
2014-05-02,440000.0,2.0,1.0,800,4850,1.0,0,0,4,800,0,1944,,"4801-4899 6th Ave NW, Seattle, WA 98107, USA",20140502T000000,4801-4899 6th Ave NW,Seattle,WA 98107,USA,98107
2014-05-02,287200.0,3.0,3.0,1850,19966,1.0,0,0,4,1090,760,1992,,"23017 SE 281st Ct, Maple Valley, WA 98038, USA",20140502T000000,23017 SE 281st Ct,Maple Valley,WA 98038,USA,98038
2014-05-02,403000.0,3.0,2.0,1960,13100,1.0,0,2,5,1650,310,1957,,"17825 4th Ave SW, Normandy Park, WA 98166, USA",20140502T000000,17825 4th Ave SW,Normandy Park,WA 98166,USA,98166
2014-05-02,750000.0,3.0,2.5,2390,6550,1.0,0,2,4,1440,950,1955,,"3628 59th Ave SW, Seattle, WA 98116, USA",20140502T000000,3628 59th Ave SW,Seattle,WA 98116,USA,98116
2014-05-02,335000.0,3.0,2.25,1580,16215,1.0,0,0,4,1580,0,1978,,"4460 332nd Ave SE, Fall City, WA 98024, USA",20140502T000000,4460 332nd Ave SE,Fall City,WA 98024,USA,98024
2014-05-02,260000.0,4.0,2.0,1480,8625,1.0,0,0,4,1480,0,1974,,"2019 Aberdeen Pl SE, Renton, WA 98055, USA",20140502T000000,2019 Aberdeen Pl SE,Renton,WA 98055,USA,98055
2014-05-02,308500.0,2.0,1.0,850,6174,1.0,0,0,4,850,0,1950,,"121 NE 147th St, Shoreline, WA 98155, USA",20140502T000000,121 NE 147th St,Shoreline,WA 98155,USA,98155
2014-05-02,439950.0,3.0,2.5,1770,2875,2.0,0,0,3,1770,0,1990,,"4458 51st Ave SW, Seattle, WA 98116, USA",20140502T000000,4458 51st Ave SW,Seattle,WA 98116,USA,98116
2014-05-02,235000.0,2.0,1.0,1210,9400,1.0,0,0,2,1210,0,1949,,"7542 21st Ave SW, Seattle, WA 98106, USA",20140502T000000,7542 21st Ave SW,Seattle,WA 98106,USA,98106
2014-05-02,315000.0,3.0,1.0,1160,9180,1.0,0,0,3,1160,0,1968,,"15804 198th Pl NE, Woodinville, WA 98077, USA",20140502T000000,15804 198th Pl NE,Woodinville,WA 98077,USA,98077
2014-05-02,437500.0,3.0,2.25,1970,35100,2.0,0,0,4,1970,0,1977,,"26069 SE 154th St, Issaquah, WA 98027, USA",20140502T000000,26069 SE 154th St,Issaquah,WA 98027,USA,98027
2014-05-02,407500.0,3.0,2.5,1930,10460,2.0,0,0,3,1930,0,1996,,"4314 NE 6th Pl, Renton, WA 98059, USA",20140502T000000,4314 NE 6th Pl,Renton,WA 98059,USA,98059
2014-05-02,445700.0,3.0,2.5,1270,1180,3.0,0,0,3,1270,0,2001,,"2640 NW 56th St, Seattle, WA 98107, USA",20140502T000000,2640 NW 56th St,Seattle,WA 98107,USA,98107
2014-05-02,838000.0,4.0,2.5,3310,42998,2.0,0,0,3,3310,0,2001,,"15712 NE 136th Pl, Redmond, WA 98052, USA",20140502T000000,15712 NE 136th Pl,Redmond,WA 98052,USA,98052
2014-05-02,630000.0,4.0,2.75,2710,37277,2.0,0,0,3,2710,0,2000,,"26429 SE 154th Pl, Issaquah, WA 98027, USA",20140502T000000,26429 SE 154th Pl,Issaquah,WA 98027,USA,98027
2014-05-02,550000.0,3.0,1.75,2910,35200,1.5,0,0,3,2910,0,1979,,"3923 229th Pl SE, Sammamish, WA 98075, USA",20140502T000000,3923 229th Pl SE,Sammamish,WA 98075,USA,98075
2014-05-02,805000.0,3.0,2.0,2710,4500,1.5,0,0,4,1880,830,1929,,"6222 30th Ave NE, Seattle, WA 98115, USA",20140502T000000,6222 30th Ave NE,Seattle,WA 98115,USA,98115
2014-05-02,284000.0,3.0,1.75,1800,23103,1.0,0,0,3,1800,0,1968,,"32418 NE 50th St, Carnation, WA 98014, USA",20140502T000000,32418 NE 50th St,Carnation,WA 98014,USA,98014
2014-05-02,470000.0,5.0,2.5,2210,9655,1.0,0,0,3,1460,750,1976,,"19334 89th Ave NE, Bothell, WA 98011, USA",20140502T000000,19334 89th Ave NE,Bothell,WA 98011,USA,98011
2014-05-02,430000.0,4.0,1.5,1920,10000,1.0,0,0,4,1070,850,1954,,"4071 156th Ave SE, Bellevue, WA 98006, USA",20140502T000000,4071 156th Ave SE,Bellevue,WA 98006,USA,98006
2014-05-02,491500.0,4.0,1.75,2190,125452,1.0,0,2,3,2190,0,1968,,"36850 204th Ave SE, Auburn, WA 98092, USA",20140502T000000,36850 204th Ave SE,Auburn,WA 98092,USA,98092
2014-05-02,785000.0,5.0,3.25,3660,11995,2.0,0,2,3,3660,0,2006,,"7425 Snowberry Ave SE, Snoqualmie, WA 98065, USA",20140502T000000,7425 Snowberry Ave SE,Snoqualmie,WA 98065,USA,98065
2014-05-02,385000.0,3.0,3.25,1320,1327,2.0,0,0,3,1040,280,2008,,"3400 21st Ave W, Seattle, WA 98199, USA",20140502T000000,3400 21st Ave W,Seattle,WA 98199,USA,98199
2014-05-02,295000.0,2.0,2.5,1630,1368,2.0,0,0,3,1280,350,2009,,"5944-6082 Delridge Way SW, Seattle, WA 98106, USA",20140502T000000,5944-6082 Delridge Way SW,Seattle,WA 98106,USA,98106
2014-05-02,555000.0,4.0,2.5,3310,6500,2.0,0,0,3,3310,0,2012,,"35229 SE Terrace St, Snoqualmie, WA 98065, USA",20140502T000000,35229 SE Terrace St,Snoqualmie,WA 98065,USA,98065
2014-05-02,459990.0,3.0,2.5,2680,5539,2.0,0,0,3,2680,0,2013,,"13800 453rd Ave SE, North Bend, WA 98045, USA",20140502T000000,13800 453rd Ave SE,North Bend,WA 98045,USA,98045
2014-05-02,625000.0,4.0,3.25,2730,54014,1.0,0,0,3,1560,1170,2007,,"9927 174th Ave SE, Renton, WA 98059, USA",20140502T000000,9927 174th Ave SE,Renton,WA 98059,USA,98059
2014-05-02,300000.0,3.0,2.5,2540,5050,2.0,0,0,3,2540,0,2006,,"29734 215th Terrace SE, Kent, WA 98042, USA",20140502T000000,29734 215th Terrace SE,Kent,WA 98042,USA,98042
2014-05-03,625000.0,4.0,2.75,2920,6605,2.0,0,0,3,2920,0,2012,,"5608 NE 5th Cir, Renton, WA 98059, USA",20140503T000000,5608 NE 5th Cir,Renton,WA 98059,USA,98059
2014-05-03,553000.0,2.0,1.0,900,5000,1.0,0,0,3,900,0,1944,,"8053 29th Ave NW, Seattle, WA 98117, USA",20140503T000000,8053 29th Ave NW,Seattle,WA 98117,USA,98117
2014-05-03,379880.0,3.0,2.5,1650,14054,1.0,0,0,4,1130,520,1986,,"13256 242nd Pl SE, Issaquah, WA 98027, USA",20140503T000000,13256 242nd Pl SE,Issaquah,WA 98027,USA,98027
2014-05-03,310000.0,3.0,1.0,1010,9945,1.0,0,0,4,1010,0,1973,,"7528 N Fork Rd SE, Snoqualmie, WA 98065, USA",20140503T000000,7528 N Fork Rd SE,Snoqualmie,WA 98065,USA,98065
2014-05-04,775000.0,2.0,2.5,2680,7392,1.0,0,0,3,2680,0,2004,,"13134 234th Ct NE, Redmond, WA 98053, USA",20140504T000000,13134 234th Ct NE,Redmond,WA 98053,USA,98053
2014-05-04,365000.0,3.0,2.5,2200,7350,1.0,0,0,5,1570,630,1988,,"13420 SE 182nd St, Renton, WA 98058, USA",20140504T000000,13420 SE 182nd St,Renton,WA 98058,USA,98058
2014-05-04,331950.0,4.0,2.5,2530,9933,2.0,0,2,3,2010,520,1990,,"925 48th Ct, Auburn, WA 98092, USA",20140504T000000,925 48th Ct,Auburn,WA 98092,USA,98092
2014-05-04,783500.0,3.0,2.5,2850,7130,2.0,0,0,3,1990,860,1980,,"151 Euclid Ave, Seattle, WA 98122, USA",20140504T000000,151 Euclid Ave,Seattle,WA 98122,USA,98122
2014-05-04,628000.0,4.0,2.0,2280,6010,1.0,0,0,3,1140,1140,1900,,"205-206 Euclid Ave, Seattle, WA 98122, USA",20140504T000000,205-206 Euclid Ave,Seattle,WA 98122,USA,98122
2014-05-05,560000.0,3.0,2.5,1900,8744,2.0,0,0,3,1900,0,1987,,"22314 NE 11th Pl, Sammamish, WA 98074, USA",20140505T000000,22314 NE 11th Pl,Sammamish,WA 98074,USA,98074
2014-05-05,900000.0,3.0,1.0,1330,77972,1.0,0,0,3,1330,0,1928,1954.0,"13615 NE 100th St, Kirkland, WA 98033, USA",20140505T000000,13615 NE 100th St,Kirkland,WA 98033,USA,98033
2014-05-05,531000.0,2.0,3.0,1270,1175,2.0,0,0,3,1110,160,2000,,"1411 N 48th St, Seattle, WA 98103, USA",20140505T000000,1411 N 48th St,Seattle,WA 98103,USA,98103
2014-05-05,831000.0,4.0,3.0,2170,4000,2.0,0,0,4,1610,560,1982,2011.0,"120 31st Ave E, Seattle, WA 98112, USA",20140505T000000,120 31st Ave E,Seattle,WA 98112,USA,98112
2014-05-05,780000.0,4.0,2.5,2730,10281,2.0,0,2,3,2730,0,1996,,"23140 NE 14th Ct, Sammamish, WA 98074, USA",20140505T000000,23140 NE 14th Ct,Sammamish,WA 98074,USA,98074
2014-05-05,755000.0,4.0,2.5,2120,10202,1.0,0,0,4,1620,500,1960,,"12645 SE 27th St, Bellevue, WA 98005, USA",20140505T000000,12645 SE 27th St,Bellevue,WA 98005,USA,98005
2014-05-05,705380.0,3.0,2.5,2490,4343,2.0,0,0,3,2490,0,2003,,"3187 NE Larkspur Ln, Issaquah, WA 98029, USA",20140505T000000,3187 NE Larkspur Ln,Issaquah,WA 98029,USA,98029
2014-05-05,627000.0,4.0,2.25,1990,7712,1.0,0,0,3,1210,780,1973,,"18915 SE 42nd Pl, Issaquah, WA 98027, USA",20140505T000000,18915 SE 42nd Pl,Issaquah,WA 98027,USA,98027
2014-05-05,865000.0,4.0,3.0,3690,9892,2.0,0,0,3,3690,0,1998,,"1765 267th Ct SE, Sammamish, WA 98075, USA",20140505T000000,1765 267th Ct SE,Sammamish,WA 98075,USA,98075
2014-05-05,580000.0,2.0,1.0,2540,7000,1.0,0,0,5,1320,1220,1942,,"8624 Island Dr S, Seattle, WA 98118, USA",20140505T000000,8624 Island Dr S,Seattle,WA 98118,USA,98118
2014-05-05,410000.0,3.0,2.25,1800,36704,1.0,0,0,4,1360,440,1978,,"24502 SE Mirrormont Dr, Issaquah, WA 98027, USA",20140505T000000,24502 SE Mirrormont Dr,Issaquah,WA 98027,USA,98027
2014-05-05,485000.0,4.0,3.0,2340,7048,1.0,0,0,4,1340,1000,1979,,"14319 85th Pl NE, Kirkland, WA 98034, USA",20140505T000000,14319 85th Pl NE,Kirkland,WA 98034,USA,98034
2014-05-05,400000.0,2.0,1.75,2110,9519,1.0,0,0,2,2110,0,1948,,"2120 NE 168th St, Shoreline, WA 98155, USA",20140505T000000,2120 NE 168th St,Shoreline,WA 98155,USA,98155
2014-05-05,549000.0,2.0,1.0,1140,5400,1.0,0,0,5,1140,0,1908,,"209 30th Ave E, Seattle, WA 98112, USA",20140505T000000,209 30th Ave E,Seattle,WA 98112,USA,98112
2014-05-05,620000.0,3.0,1.75,1480,2185,2.5,0,0,3,1480,0,2005,,"10512 128th Ave NE, Kirkland, WA 98033, USA",20140505T000000,10512 128th Ave NE,Kirkland,WA 98033,USA,98033
2014-05-05,405000.0,2.0,3.0,1410,1240,2.0,0,0,3,1140,270,2006,,"9126 45th Ave SW, Seattle, WA 98136, USA",20140505T000000,9126 45th Ave SW,Seattle,WA 98136,USA,98136
2014-05-05,232000.0,2.0,1.0,1200,8063,1.0,0,0,4,1200,0,1958,,"20220 8th Ave S, Des Moines, WA 98198, USA",20140505T000000,20220 8th Ave S,Des Moines,WA 98198,USA,98198
2014-05-05,800866.0,5.0,2.5,3180,13806,2.0,0,0,4,3180,0,1990,,"11821 NE 48th Pl, Kirkland, WA 98033, USA",20140505T000000,11821 NE 48th Pl,Kirkland,WA 98033,USA,98033
2014-05-05,650000.0,3.0,1.5,2160,9000,1.0,0,2,4,1400,760,1949,,"13026 10th Ave NW, Seattle, WA 98177, USA",20140505T000000,13026 10th Ave NW,Seattle,WA 98177,USA,98177
2014-05-05,823000.0,6.0,1.75,2920,5000,2.5,0,0,4,2780,140,1908,,"125 29th Ave, Seattle, WA 98122, USA",20140505T000000,125 29th Ave,Seattle,WA 98122,USA,98122
2014-05-05,770000.0,3.0,2.0,2350,5700,1.5,0,0,4,1810,540,1939,,"2171 Boyer Ave E, Seattle, WA 98112, USA",20140505T000000,2171 Boyer Ave E,Seattle,WA 98112,USA,98112
2014-05-05,524000.0,3.0,1.75,1560,5520,1.0,0,0,4,780,780,1944,,"3434 33rd Ave W, Seattle, WA 98199, USA",20140505T000000,3434 33rd Ave W,Seattle,WA 98199,USA,98199
2014-05-05,541125.0,5.0,2.75,2740,8426,1.0,0,0,4,1370,1370,1960,,"5211 116th Pl SE, Bellevue, WA 98006, USA",20140505T000000,5211 116th Pl SE,Bellevue,WA 98006,USA,98006
2014-05-05,670000.0,3.0,2.5,1680,2000,3.0,0,0,3,1680,0,1909,1998.0,"3503 NE 44th St, Seattle, WA 98105, USA",20140505T000000,3503 NE 44th St,Seattle,WA 98105,USA,98105
2014-05-05,384900.0,5.0,2.5,3090,12750,1.0,0,0,3,1750,1340,1968,,"114 SW 292nd St, Federal Way, WA 98023, USA",20140505T000000,114 SW 292nd St,Federal Way,WA 98023,USA,98023
2014-05-05,406100.0,3.0,2.25,1410,1332,3.0,0,0,3,1410,0,2005,,"8536 Interlake Ave N, Seattle, WA 98103, USA",20140505T000000,8536 Interlake Ave N,Seattle,WA 98103,USA,98103
2014-05-05,1395000.0,5.0,3.5,4010,8510,2.0,0,1,5,2850,1160,1971,,"3930 NE Belvoir Pl, Seattle, WA 98105, USA",20140505T000000,3930 NE Belvoir Pl,Seattle,WA 98105,USA,98105
2014-05-05,736500.0,4.0,2.5,3180,21904,2.0,0,3,3,3180,0,2000,,"17132 SE 100th St, Renton, WA 98059, USA",20140505T000000,17132 SE 100th St,Renton,WA 98059,USA,98059
2014-05-05,570000.0,3.0,2.25,2010,6000,1.0,0,0,3,1330,680,1975,,"10204 168th Pl NE, Redmond, WA 98052, USA",20140505T000000,10204 168th Pl NE,Redmond,WA 98052,USA,98052
2014-05-05,787000.0,3.0,1.75,1330,7500,1.0,0,0,3,1330,0,1961,,"218 109th Ave SE, Bellevue, WA 98004, USA",20140505T000000,218 109th Ave SE,Bellevue,WA 98004,USA,98004
2014-05-05,328000.0,4.0,2.5,2370,6500,2.0,0,0,3,2370,0,1998,,"12621 SE 300th Way, Auburn, WA 98092, USA",20140505T000000,12621 SE 300th Way,Auburn,WA 98092,USA,98092
2014-05-05,435000.0,5.0,2.0,1840,9240,1.0,0,0,4,1540,300,1942,1958.0,"14013 Ashworth Ave N, Seattle, WA 98133, USA",20140505T000000,14013 Ashworth Ave N,Seattle,WA 98133,USA,98133
2014-05-05,499000.0,4.0,2.5,2910,6479,2.0,0,0,3,2910,0,2006,,"34010 SE Sorenson St, Snoqualmie, WA 98065, USA",20140505T000000,34010 SE Sorenson St,Snoqualmie,WA 98065,USA,98065
2014-05-05,501000.0,4.0,1.0,2070,7519,1.0,0,0,3,1160,910,1963,,"2506 166th Ave NE, Bellevue, WA 98008, USA",20140505T000000,2506 166th Ave NE,Bellevue,WA 98008,USA,98008
2014-05-05,1090000.0,4.0,2.5,4340,141570,2.5,0,0,3,4340,0,1992,,"8814 218th Ave NE, Redmond, WA 98053, USA",20140505T000000,8814 218th Ave NE,Redmond,WA 98053,USA,98053
2014-05-05,400000.0,2.0,1.0,840,5510,1.0,0,0,3,840,0,1955,,"4515 SW Trenton St, Seattle, WA 98136, USA",20140505T000000,4515 SW Trenton St,Seattle,WA 98136,USA,98136
2014-05-05,220000.0,4.0,1.5,1240,9600,1.0,0,0,3,1240,0,1971,,"4924 SW 314th Pl, Federal Way, WA 98023, USA",20140505T000000,4924 SW 314th Pl,Federal Way,WA 98023,USA,98023
2014-05-05,657100.0,4.0,1.0,1390,4240,1.0,0,0,3,1050,340,1924,,"4312 Woodlawn Ave N, Seattle, WA 98103, USA",20140505T000000,4312 Woodlawn Ave N,Seattle,WA 98103,USA,98103
2014-05-05,309950.0,4.0,2.75,2310,5000,2.0,0,0,3,2310,0,2006,,"22912 SE 268th Pl, Maple Valley, WA 98038, USA",20140505T000000,22912 SE 268th Pl,Maple Valley,WA 98038,USA,98038
2014-05-05,300000.0,3.0,2.0,1050,10072,1.0,0,0,3,1050,0,1986,,"27106 NE Miller St, Duvall, WA 98019, USA",20140505T000000,27106 NE Miller St,Duvall,WA 98019,USA,98019
2014-05-05,525888.0,5.0,1.75,2550,71874,1.0,0,0,5,1810,740,1960,,"13129 195th Pl SE, Issaquah, WA 98027, USA",20140505T000000,13129 195th Pl SE,Issaquah,WA 98027,USA,98027
2014-05-05,740000.0,4.0,1.75,2010,3600,1.5,0,0,3,2010,0,1902,,"1014 W Garfield St, Seattle, WA 98119, USA",20140505T000000,1014 W Garfield St,Seattle,WA 98119,USA,98119
2014-05-05,340000.0,5.0,1.0,1120,9022,1.5,0,0,4,1120,0,1962,,"14150 75th Ave NE, Kirkland, WA 98034, USA",20140505T000000,14150 75th Ave NE,Kirkland,WA 98034,USA,98034
2014-05-05,398750.0,3.0,2.5,2230,4000,2.0,0,0,3,2230,0,1954,,"2601 21st Ave S, Seattle, WA 98144, USA",20140505T000000,2601 21st Ave S,Seattle,WA 98144,USA,98144
2014-05-05,206000.0,2.0,1.0,810,7158,1.0,0,0,5,810,0,1944,,"12807 7th Ave S, Burien, WA 98168, USA",20140505T000000,12807 7th Ave S,Burien,WA 98168,USA,98168
2014-05-05,1030000.0,5.0,2.75,3190,16920,1.0,0,3,3,1690,1500,1976,,"4529 135th Ave SE, Bellevue, WA 98006, USA",20140505T000000,4529 135th Ave SE,Bellevue,WA 98006,USA,98006
2014-05-05,600000.0,3.0,1.75,1670,39639,1.0,0,0,4,1670,0,1976,1992.0,"1804 E Beaver Lake Dr SE, Sammamish, WA 98075, USA",20140505T000000,1804 E Beaver Lake Dr SE,Sammamish,WA 98075,USA,98075
2014-05-05,379950.0,4.0,1.75,1970,9389,1.0,0,0,5,1140,830,1960,,"1701 N 204th Pl, Shoreline, WA 98133, USA",20140505T000000,1701 N 204th Pl,Shoreline,WA 98133,USA,98133
2014-05-05,287000.0,3.0,1.0,1450,6000,1.0,0,0,4,1450,0,1953,,"8681 Beacon Ave S, Seattle, WA 98118, USA",20140505T000000,8681 Beacon Ave S,Seattle,WA 98118,USA,98118
2014-05-05,2280000.0,7.0,8.0,13540,307752,3.0,0,4,3,9410,4130,1999,,"26408 NE 70th St, Redmond, WA 98053, USA",20140505T000000,26408 NE 70th St,Redmond,WA 98053,USA,98053
2014-05-05,309950.0,3.0,2.5,1880,7838,2.0,0,0,3,1880,0,1994,,"17717 113th Pl SE, Renton, WA 98055, USA",20140505T000000,17717 113th Pl SE,Renton,WA 98055,USA,98055
2014-05-05,600000.0,3.0,1.75,1880,6360,1.0,0,0,4,1040,840,1945,,"8040 39th Ave NE, Seattle, WA 98115, USA",20140505T000000,8040 39th Ave NE,Seattle,WA 98115,USA,98115
2014-05-05,418000.0,3.0,2.0,1410,6030,1.5,0,0,4,1410,0,1930,,"901 N 97th St, Seattle, WA 98103, USA",20140505T000000,901 N 97th St,Seattle,WA 98103,USA,98103
2014-05-05,449250.0,4.0,2.0,1480,3844,1.5,0,0,5,1480,0,1928,,"519 N 104th St, Seattle, WA 98133, USA",20140505T000000,519 N 104th St,Seattle,WA 98133,USA,98133
2014-05-05,329950.0,2.0,1.0,1140,5250,1.5,0,0,4,1140,0,1949,,"14017 Roslyn Pl N, Seattle, WA 98133, USA",20140505T000000,14017 Roslyn Pl N,Seattle,WA 98133,USA,98133
